"%s and greater","%s и более"
"<strong>%d item(s)</strong> were found using the following search criteria","При использовании поискового критерия найдено позиций <strong>%d</strong>"
"Advanced Search","Расширенный поиск"
"Advanced Search Form","Форма расширенного поиска"
"Advanced Search Result","Результат расширенного поиска"
"All","Все"
"Applies for ""Like"" search type only.","Эта настройка применяется только в режиме поиска «Like»."
"Apply Layered Navigation if Search Results are Less Than","Верхняя граница количества товаров, найденных системой по запросу посетителя, при превышении которой система отключит функкциональность пошаговой фильтрации результатов поиска"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","После изменения значения этого свойства товара требуется <a href=""%s"">пересоставить расчётную таблицу для полнотекстового поиска</a>."
"Autogenerated Site Map","Добавлять ли в подвал страницы ссылку на карту товарных разделов?"
"Catalog Advanced Search","Расширенный поиск по каталогу"
"Catalog Search","Поиск по каталогу"
"Catalog Search Index","Полнотекстовый поиск"
"Don't see what you're looking for?","Не нашли то, что искали?"
"Enter ""0"" to enable layered navigation for any number of results.","Укажите значение «0» для запрета отключения системой пошаговой фильтрации при слишком большом количестве найденных товаров."
"Go","Перейти"
"Go to Home Page","Перейти на главную страницу"
"Grid","плитка"
"Home","Главная"
"If you Enable this feature, a Site Map link will display in the footer on the front-end, directing to an automatically generated site map including a list of all of your existing categories. In addition to the Autogenerated site map, Magento allows for integration with Google Sitemap. There is more information about this below.",""
"List","список"
"Maximum Query Length","Максимальное количество символов в поисковой фразе"
"Maximum Query Words Count","Максимальное количество слов в поисковой фразе"
"Maximum Search query  length is %s. Your query was cut.","Максимальная длина запроса составляет %s. Ваш запрос был сокращён."
"Minimal Query Length","Минимальное количество символов в поисковой фразе"
"Minimum Search query length is %s","Минимальное количество символов в поисковой фразе: %s (символов)"
"Modify your search","Измените параметры поиска"
"No","нет"
"No items were found using the following search criteria.","К сожалению по Вашему запросу ничего не найдено."
"Please specify at least one search term.","Выберите поисковые запросы."
"Popular Search Terms","Популярные поисковые запросы"
"Quick Search Form","Форма быстрого поиска"
"Rebuild Catalog product fulltext search index","Хранит предметный указатель для полнотекстового поиска по товарному каталогу"
"Relevance","Релевантность"
"Results","Результат"
"Search","Поиск"
"Search Settings","Настройки поиска"
"Search Terms","Поисковые запросы"
"Search Type","Режим поиска"
"Search entire store here...","Введите запрос..."
"Search results for '%s'","Вы искали: «%s»"
"Search results for: '%s'","Вы искали: «%s»"
"Search:","Поиск:"
"Shop By","Фильтр"
"Shopping Options","Критерии фильтрации"
"Subscribe to Feed","Подписаться на новости магазина"
"There are no search terms available.","Нет доступных поисковых запросов."
"Yes","да"
"Your search returns no results.","К сожалению, система не нашла требуемый вам товар.<br/>Пожалуйста, позвоните нам по телефону — попробуем найти этот товар вручную по базе."
"up to %s","до %s"
