"A joint field with this alias (%s) is already declared.","Присоединяемое поле для этого псевдонима (alias) (%s) уже объявлено."
"Add Option","Добавить вариант"
"An error occurred while loading a record, aborting. Error: %s","При загрузке учётного объекта из базы данных произошёл сбой: «%s»."
"An error occurred while loading the collection, aborting. Error: %s","При загрузке набора учётных объектов из базы данных произошёл сбой: «%s»."
"An error occurred while saving a record, aborting. Error: ","При сохранении учётного объекта в базе данных произошёл сбой: «%s»."
"Attempt to add an invalid object.","Попытка добавить неправильный объект."
"Attribute '%s' used in configurable products.","Свойство «%s» используется в настраиваемых товарах."
"Attribute Code","Код свойства"
"Attribute Label","Заголовок свойства"
"Attribute Properties","Основные параметры"
"Attribute set with the ""%s"" name already exists.","Прикладной тип товара с названием «%s» уже существует."
"Attribute with the same code","Свойство с таким же кодом"
"Catalog Input Type for Store Owner","Элемент управления для администратора"
"Data integrity: No header row found for attribute.","Целостность данных: Не найдена строка заголовка для свойства."
"Date","Дата"
"Decimal Number","Десятичное число"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Значение по умолчанию поля «Сортировать по критерию» списка товаров не существует в доступных значениях для этого поля."
"Default Value","Значение по умолчанию"
"Default option value is not defined.","Значение варианта по умолчанию не определено."
"Delete","Удалить"
"Dropdown","Выпадающий список"
"Email","Email"
"Entity collection expected.","Пропущена коллекция сущности."
"Entity collections expected.","Пропущены коллекции сущности."
"Entity is not initialized.","Сущность не инициализируется."
"Failed to load node %s from config.","Сбой при загрузке настройки «%s»."
"For internal use. Must be unique with no spaces","Для внутреннего использования. Должно быть уникальным, без пробелов"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Для внутреннего использования. Значение должно быть уникальным, без пробелов, длиной менее %s знаков."
"Form Element with the same attribute","Элемент формы с таким же свойством"
"Form Fieldset with the same code","Fieldset формы с таким же кодом"
"Form Type with the same code","Тип формы с таким же кодом"
"Frontend label is not defined.","Заголовок для пользовательской части сайта не определён."
"Input Validation for Store Owner","Административная проверка"
"Integer Number","Целое число"
"Invalid EAV attribute.","Неверное свойство EAV."
"Invalid alias, already exists in joint attributes.","Неверный псевдоним (alias), уже существует в присоединенных свойствах."
"Invalid attribute name: %s.","Неверное название свойства: %s."
"Invalid attribute requested: %s","Запрошено неверное свойство: %s"
"Invalid attribute type.","Неправильный тип свойства."
"Invalid character encountered in increment ID: %s","Номер товара «%s» содержит недопустимый символ"
"Invalid entity specified","Указана неправильная сущность"
"Invalid entity supplied.","Поставлена неправильная сущность."
"Invalid entity supplied: %s.","Поставлена неправильная сущность: %s."
"Invalid entity type.","неверный entity type."
"Invalid entity_id, skipping the record.","Неверный entity_id, пропуск записи."
"Invalid entity_type specified: %s","Указан неправильный entity_type: %s"
"Invalid foreign key.","Неправильный внешний ключ."
"Invalid form type.","Неправильный тип формы."
"Invalid joint fields.","Неправильные присоединяемые поля."
"Invalid store specified","Указан неверный магазин"
"Joined field with this alias is already declared.","Присоединяемое поле с этим псевдонимом уже объявлено."
"Joint field or attribute expression with this alias is already declared.","Присоединяемое поле или выражение свойства с этим псевдонимом уже объявлены."
"Letters","Буквы"
"Letters (a-z, A-Z) or Numbers (0-9)","Буквы (a-z, A-Z) или Цифры (0-9)"
"Loaded %d records","Загружено записей %d "
"Multiple Select","Множественный выбор"
"No","нет"
"No options found in config node %s","В ветке «%s» настройки не найдены"
"None","нет"
"Not shared with other products","Если выбрано «да», то администратор не сможет указать одно и то же значение данного свойства для двух разных товаров"
"Problem loading the collection, aborting. Error: %s","Проблема загрузки коллекции. Ошибка: %s"
"Problem saving the collection, aborting. Error: %s","Проблема сохранения коллекции. Ошибка: %s"
"Required","Обязателен<br/>для заполнения?"
"Saved %d record(s).","Сохранено записей %d."
"Scope must not be changed, because the attribute is used in configurable products.","Область действия не должна изменяться, так как свойство используется в настраиваемых товарах."
"System","Система"
"Text Area","Текстовая область"
"Text Field","Текстовое поле"
"The attribute code \'%s\' is reserved by system. Please try another attribute code.","Код свойства \'%s\' зарезервирован в системе. Пожалуйста, введите другой код для свойства."
"The value of attribute ""%s"" must be unique.","Значение свойства «%s» должно быть уникальным."
"This attribute is used in configurable products.","Это свойство используется в настраиваемых товарах."
"URL","URL"
"Unique Value","Требовать ли от администратора уникальности значения данного свойства для каждого товара?"
"Unique Value (not shared with other products)","Уникальное значение (не разделять с другими товарами)"
"Unknown parameter.","Неизвестный параметр."
"Valid store_id is expected.","Ожидается действительный store_id."
"Values Required","Обязательно ли для заполнения?"
"Wrong attribute ID.","Свойство с указанным идентификатором отсутствует в системе."
"Wrong attribute group ID.","Группа свойств с указанным идентификатором отсутствует в системе."
"Wrong attribute set ID.","Прикладной тип товара с указанным идентификатором отсутствует в системе."
"Wrong entity ID.","Сущность с указанным идентификатором отсутствует в системе."
"Yes","да"
"Yes/No","Да/Нет"
