"ALL","все условия"
"ANY","любое из условий"
"Add","Добавить"
"Apply","Применить"
"Conditions Combination","Комбинация условий"
"Description: %s","Описание: %s"
"End Date should be greater than Start Date","Дата окончания должна быть больше даты начала"
"Expire at: %s","Истекает: %s"
"FALSE","нарушены"
"If %s of these conditions are %s:","Если %s %s:"
"Invalid discount amount.","Неверная величина скидки."
"MATCHING ALL","СООТВЕТСТВУЕТ ВСЕМ"
"MATCHING ANY","СООТВЕТСТВУЕТ ЛЮБОМУ"
"NOT MATCHING ALL","НЕ СООТВЕТСТВУЕТ ВСЕМ"
"NOT MATCHING ANY","НЕ СООТВЕТСТВУЕТ ЛЮБОМУ"
"Name: %s","Название: %s"
"Open Chooser","Выбрать"
"Perform following actions","Выполнить следующие действия"
"Please choose a condition to add...","Пожалуйста, выберите условие для добавления..."
"Please choose an action to add...","Пожалуйста, выберите действие для добавления..."
"Remove","Удалить"
"Start at: %s","Начиная с: %s"
"TRUE","выполнены"
"by","до"
"contains","содержит"
"does not contain","не содержит"
"equals or greater than","≥"
"equals or less than","≤"
"greater than",">"
"is","="
"is not","≠"
"is not one of","∉"
"is one of","∈"
"less than","<"
"to","до"
