"# of Uses","# использований"
"%s tag(s) have been accepted for moderation.","Добавленные Вами метки (%s шт.) появятся на сайте после одобрения модератором."
"<strong>Tag Name:</strong> %s","<strong>Название метки:</strong> %s"
"Action","Действие"
"Add New Tag","Добавить новую метку"
"Add Tags","Добавить метки"
"Add Your Tags:","Добавьте Ваши метки:"
"Add to Cart","в корзину"
"Add to Wishlist","запомнить"
"All Tags","Все метки"
"Approved","Подтверждено"
"Are you sure you want to delete this tag?","Вы действительно хотите удалить эту метку?"
"Are you sure you want to do this?","Вы действительно хотите сделать это?"
"Are you sure?","Вы уверены?"
"Back","вернуться"
"Back to Tags List","Вернуться к списку меток"
"Base Popularity","Базовая популярность"
"Block Information","Параметры блока"
"CSV","CSV"
"Catalog Product View","Catalog Product View"
"Change status","Изменить состояние"
"Click on a tag to view your corresponding products.","Нажмите на метку для просмотра помеченных товаров."
"Country","Страна"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Customer My Account Tag View"
"Customer Since","дата регистрации"
"Customers","Группировка по покупателям"
"Customers Submitted this Tag","Покупатели, указавшие эту метку"
"Customers Tagged '%s'","Отмечено покупателями как «%s»"
"Delete","Удалить"
"Delete Tag","Удалить метку"
"Disabled","Отключено"
"Edit Tag '%s'","Метка: «%s»"
"Email","Адрес электронной почты"
"First Name","Имя"
"General Information","Общая информация"
"Grid","плитка"
"ID","№"
"Last Name","Фамилия"
"List","список"
"Manage Tags","Метки"
"My Recent Tags","Мои последние метки"
"My Tags","Метки"
"Name","Название"
"New Tag","Новая метка"
"No matches found.","Совпадений не найдено."
"Other people marked this product with these tags:",""
"Pending","На рассмотрении"
"Pending Tags","Метки, ожидающие проверки"
"Popular","Популярные"
"Popular Tags","Популярные метки"
"Price","Цена"
"Product Name","Название товара"
"Product SKU","Артикул товара"
"Product Tags","Метки"
"Products","Группировка по товарам"
"Products Tagged by Administrators","Товары, помеченные администраторами"
"Products Tagged by Customers","Помеченные покупателями товары"
"Products Tagged with '%s'","Товары, помеченные «%s»"
"Products tagged with '%s'","Товары, помеченные «%s»"
"Rebuild Tag aggregation data","Хранит товарные метки"
"SKU","Артикул"
"Save Tag","сохранить метку"
"Save and Continue Edit","сохранить и остаться"
"Status","Состояние"
"Store View","Витрина"
"Tag","Метка"
"Tag ""%s"" has already been added to the product.","Метка «%s» уже была добавлена товару."
"Tag ""%s"" has been added to the product.","Метка «%s» добавлена товару."
"Tag ""%s"" has been rejected by administrator.","Метка «%s» не одобрена администратором."
"Tag Aggregation Data","Метки"
"Tag Name","Название метки"
"Tagged Products List","Список товаров с метками"
"Tags","Метки"
"Tags List (All Available)","Список меток (все доступные)"
"Tags:","Метки:"
"Telephone","Телефон"
"The tag has been deleted.","Метка удалена."
"There are no tags available.","Нет доступных меток."
"Unable to find any products tagged with '%s' in the current store","Система не нашла в текущем магазине товары с пометкой «%s»"
"Unable to remove tag. Please, try again later.","Невозможно удалить метку. Пожалуйста, повторите попытку позже."
"Unable to save tag(s).","Невозможно сохранить метку(и)."
"Use spaces to separate tags. Use single quotes (') for phrases.","Если Ваша метка состоит из нескольких слов — заключите её в одинарные кавычки, например: 'для гостиной'.<br/>Вы можете указать сразу несколько меток: для разделения метод используйте пробел."
"View All Tags","все метки"
"View Customers","Смотреть покупателей"
"View Products","Просмотреть товары"
"XML","XML"
"You have not tagged any products yet.","В этом разделе Вы увидите все оставленные Вами метки к нашим товарам."
"ZIP/Post Code","Почтовый индекс"
